disease,symptoms,context
disseminated intravascular coagulation (dic),"Multiple distinct personalities or identities, memory gaps, confusion about identity or personal history, depression, anxiety","disseminated intravascular coagulation (dic): Multiple distinct personalities or identities, memory gaps, confusion about identity or personal history, depression, anxiety"
dissociative identity disorder (did),"Abdominal pain (usually in the lower left side), bloating, constipation, diarrhea, fever (if infected)","dissociative identity disorder (did): Abdominal pain (usually in the lower left side), bloating, constipation, diarrhea, fever (if infected)"
diverticular disease,"Persistent burning or throbbing pain, sensitivity to touch or cold, changes in skin color or texture, swelling or stiffness in affected area, changes in hair or nail growth","diverticular disease: Persistent burning or throbbing pain, sensitivity to touch or cold, changes in skin color or texture, swelling or stiffness in affected area, changes in hair or nail growth"
diverticulitis,"Abdominal pain (usually in the lower left side), fever, nausea, vomiting, changes in bowel habits (diarrhea or constipation), bloating","diverticulitis: Abdominal pain (usually in the lower left side), fever, nausea, vomiting, changes in bowel habits (diarrhea or constipation), bloating"
diverticulosis,"Often asymptomatic but may include abdominal pain (usually in the lower left side), bloating, changes in bowel habits, rectal bleeding","diverticulosis: Often asymptomatic but may include abdominal pain (usually in the lower left side), bloating, changes in bowel habits, rectal bleeding"
down syndrome,"Intellectual disability, developmental delays, distinctive facial features (flat facial profile, upward slanting eyes), low muscle tone, heart defects","down syndrome: Intellectual disability, developmental delays, distinctive facial features (flat facial profile, upward slanting eyes), low muscle tone, heart defects"
dracunculiasis,"Painful blister (usually on lower limb), ulceration, fever, nausea, vomiting, dizziness, joint pain","dracunculiasis: Painful blister (usually on lower limb), ulceration, fever, nausea, vomiting, dizziness, joint pain"
drooping eyelid (ptosis),"Drooping of one or both eyelids, asymmetrical appearance of eyes, difficulty keeping the eyes open, reduced vision","drooping eyelid (ptosis): Drooping of one or both eyelids, asymmetrical appearance of eyes, difficulty keeping the eyes open, reduced vision"
drug addiction,"Compulsive drug seeking and use despite harmful consequences, loss of control over drug use, withdrawal symptoms, tolerance to drugs","drug addiction: Compulsive drug seeking and use despite harmful consequences, loss of control over drug use, withdrawal symptoms, tolerance to drugs"
drug allergy,"Rash, hives, itching, swelling, shortness of breath, wheezing, runny nose, watery eyes, nausea, vomiting","drug allergy: Rash, hives, itching, swelling, shortness of breath, wheezing, runny nose, watery eyes, nausea, vomiting"
drug-induced hepatitis,"Jaundice (yellowing of the skin and eyes), abdominal pain, nausea, vomiting, loss of appetite, dark urine, pale stools","drug-induced hepatitis: Jaundice (yellowing of the skin and eyes), abdominal pain, nausea, vomiting, loss of appetite, dark urine, pale stools"
dry eye syndrome,"Dryness, itching, burning sensation, redness, blurred vision, sensitivity to light, feeling of foreign body in the eye","dry eye syndrome: Dryness, itching, burning sensation, redness, blurred vision, sensitivity to light, feeling of foreign body in the eye"
dry mouth (xerostomia),"Dryness in the mouth, sticky or thick saliva, difficulty swallowing, altered taste sensation, bad breath","dry mouth (xerostomia): Dryness in the mouth, sticky or thick saliva, difficulty swallowing, altered taste sensation, bad breath"
dubin-johnson syndrome,"Jaundice (yellowing of the skin and eyes), dark-colored urine, abdominal pain, fatigue, nausea, vomiting","dubin-johnson syndrome: Jaundice (yellowing of the skin and eyes), dark-colored urine, abdominal pain, fatigue, nausea, vomiting"
duchenne muscular dystrophy,"Muscle weakness (usually starts in the legs), delayed motor milestones, difficulty walking, enlarged calf muscles, frequent falls","duchenne muscular dystrophy: Muscle weakness (usually starts in the legs), delayed motor milestones, difficulty walking, enlarged calf muscles, frequent falls"
dumping syndrome,"Abdominal cramps or pain, nausea, vomiting, diarrhea, lightheadedness, weakness, sweating, palpitations","dumping syndrome: Abdominal cramps or pain, nausea, vomiting, diarrhea, lightheadedness, weakness, sweating, palpitations"
duodenal ulcer,"Abdominal pain (usually in the upper abdomen), bloating, nausea, vomiting, heartburn, loss of appetite, unintentional weight loss","duodenal ulcer: Abdominal pain (usually in the upper abdomen), bloating, nausea, vomiting, heartburn, loss of appetite, unintentional weight loss"
dupuytren's contracture,"Thickening and tightening of the skin in the palm of the hand, formation of a cord-like band, difficulty straightening fingers","dupuytren's contracture: Thickening and tightening of the skin in the palm of the hand, formation of a cord-like band, difficulty straightening fingers"
dwarfism,"Short stature, proportionate or disproportionate body parts, delayed development, skeletal abnormalities, health issues related to height","dwarfism: Short stature, proportionate or disproportionate body parts, delayed development, skeletal abnormalities, health issues related to height"
dysautonomia,"Abnormal functioning of the autonomic nervous system, symptoms vary but may include dizziness, fainting, rapid heart rate, sweating, digestive issues","dysautonomia: Abnormal functioning of the autonomic nervous system, symptoms vary but may include dizziness, fainting, rapid heart rate, sweating, digestive issues"
dysentery,"Diarrhea (often bloody), abdominal cramps, fever, nausea, vomiting, dehydration, fatigue, tenesmus (urge to pass stool when rectum is empty)","dysentery: Diarrhea (often bloody), abdominal cramps, fever, nausea, vomiting, dehydration, fatigue, tenesmus (urge to pass stool when rectum is empty)"
dysfunctional uterine bleeding (dub),"Irregular, heavy, or prolonged menstrual bleeding without an underlying structural abnormality or pregnancy","dysfunctional uterine bleeding (dub): Irregular, heavy, or prolonged menstrual bleeding without an underlying structural abnormality or pregnancy"
dyslexia,"Difficulty reading, spelling, or writing despite normal intelligence, letter reversals, difficulty processing language, slow reading speed","dyslexia: Difficulty reading, spelling, or writing despite normal intelligence, letter reversals, difficulty processing language, slow reading speed"
dysmenorrhea,"Painful menstrual periods, cramping in the lower abdomen, lower back pain, nausea, vomiting, diarrhea","dysmenorrhea: Painful menstrual periods, cramping in the lower abdomen, lower back pain, nausea, vomiting, diarrhea"
dysosmia (altered smell),"Changes in smell perception, distorted or unpleasant odors, reduced ability to detect smells, phantom smells","dysosmia (altered smell): Changes in smell perception, distorted or unpleasant odors, reduced ability to detect smells, phantom smells"
dyspareunia,"Pain during sexual intercourse, sharp or burning pain in the genital area, vaginal dryness, muscle spasms","dyspareunia: Pain during sexual intercourse, sharp or burning pain in the genital area, vaginal dryness, muscle spasms"
dyspepsia,"Indigestion, upper abdominal discomfort or pain, bloating, belching, nausea, vomiting, heartburn","dyspepsia: Indigestion, upper abdominal discomfort or pain, bloating, belching, nausea, vomiting, heartburn"
dysphagia,"Difficulty swallowing, sensation of food getting stuck in the throat or chest, pain when swallowing, drooling, regurgitation","dysphagia: Difficulty swallowing, sensation of food getting stuck in the throat or chest, pain when swallowing, drooling, regurgitation"
dysplasia,"Abnormal development or growth of cells, tissues, or organs, may increase the risk of cancer or other health problems","dysplasia: Abnormal development or growth of cells, tissues, or organs, may increase the risk of cancer or other health problems"
dyspnea,"Shortness of breath, difficulty breathing, feeling of tightness in the chest, rapid breathing, wheezing","dyspnea: Shortness of breath, difficulty breathing, feeling of tightness in the chest, rapid breathing, wheezing"
dyspraxia,"Difficulty with motor coordination and planning, clumsiness, poor balance and posture, difficulty with fine motor tasks","dyspraxia: Difficulty with motor coordination and planning, clumsiness, poor balance and posture, difficulty with fine motor tasks"
dystonia,"Involuntary muscle contractions causing twisting or repetitive movements, abnormal posture, tremors, pain, muscle spasms","dystonia: Involuntary muscle contractions causing twisting or repetitive movements, abnormal posture, tremors, pain, muscle spasms"
dysuria,"Pain or discomfort during urination, burning sensation, frequent urination, urgency to urinate, cloudy or bloody urine","dysuria: Pain or discomfort during urination, burning sensation, frequent urination, urgency to urinate, cloudy or bloody urine"
e. coli infection,"Abdominal cramps, diarrhea (often bloody), nausea, vomiting, fever, fatigue, loss of appetite, dehydration","e. coli infection: Abdominal cramps, diarrhea (often bloody), nausea, vomiting, fever, fatigue, loss of appetite, dehydration"
eagle syndrome,"Throat pain (often on one side), difficulty swallowing, sensation of a foreign body in the throat, ear pain or discomfort","eagle syndrome: Throat pain (often on one side), difficulty swallowing, sensation of a foreign body in the throat, ear pain or discomfort"
ear barotrauma,"Ear pain, pressure or fullness in the ear, hearing loss, ringing in the ears (tinnitus), dizziness, bleeding from the ear","ear barotrauma: Ear pain, pressure or fullness in the ear, hearing loss, ringing in the ears (tinnitus), dizziness, bleeding from the ear"
ear drum perforation,"Hearing loss, ear pain, ringing in the ears (tinnitus), discharge from the ear, vertigo, dizziness","ear drum perforation: Hearing loss, ear pain, ringing in the ears (tinnitus), discharge from the ear, vertigo, dizziness"
ear foreign body,"Pain or discomfort in the ear, sensation of fullness or blockage, hearing loss, ear discharge, irritation","ear foreign body: Pain or discomfort in the ear, sensation of fullness or blockage, hearing loss, ear discharge, irritation"
ear infection,"Ear pain, difficulty hearing, drainage from the ear, fever, irritability (in children), ear itching or redness","ear infection: Ear pain, difficulty hearing, drainage from the ear, fever, irritability (in children), ear itching or redness"
ear infection (otitis media),"Ear pain, fever, irritability (in children), difficulty sleeping, hearing loss, drainage from the ear, headache","ear infection (otitis media): Ear pain, fever, irritability (in children), difficulty sleeping, hearing loss, drainage from the ear, headache"
ear pain,"Pain or discomfort in or around the ear, difficulty hearing, ringing in the ears (tinnitus), dizziness","ear pain: Pain or discomfort in or around the ear, difficulty hearing, ringing in the ears (tinnitus), dizziness"
ear wax buildup,"Earache, difficulty hearing, sensation of fullness or blockage in the ear, ringing in the ears (tinnitus), itching in the ear","ear wax buildup: Earache, difficulty hearing, sensation of fullness or blockage in the ear, ringing in the ears (tinnitus), itching in the ear"
eating disorders,"Distorted body image, preoccupation with food, binge eating or restrictive eating behaviors, excessive exercise, purging behaviors","eating disorders: Distorted body image, preoccupation with food, binge eating or restrictive eating behaviors, excessive exercise, purging behaviors"
ebola virus disease,"Fever, severe headache, muscle pain, weakness, fatigue, diarrhea, vomiting, abdominal pain, unexplained bleeding (hemorrhage)","ebola virus disease: Fever, severe headache, muscle pain, weakness, fatigue, diarrhea, vomiting, abdominal pain, unexplained bleeding (hemorrhage)"
echinococcosis,"Abdominal pain, cysts in the liver, lungs, or other organs, nausea, vomiting, weakness, fever, allergic reactions","echinococcosis: Abdominal pain, cysts in the liver, lungs, or other organs, nausea, vomiting, weakness, fever, allergic reactions"
eclampsia,"Seizures or convulsions during pregnancy or shortly after childbirth, high blood pressure, protein in urine, headaches, vision changes","eclampsia: Seizures or convulsions during pregnancy or shortly after childbirth, high blood pressure, protein in urine, headaches, vision changes"
ecthyma,"Skin sores or ulcers (often with a crust or scab), pain or tenderness, redness, swelling, fever, enlarged lymph nodes","ecthyma: Skin sores or ulcers (often with a crust or scab), pain or tenderness, redness, swelling, fever, enlarged lymph nodes"
ectodermal dysplasia,"Sparse hair, missing teeth, abnormal nails, absence of sweat glands, dry skin, difficulty tolerating hot or cold temperatures","ectodermal dysplasia: Sparse hair, missing teeth, abnormal nails, absence of sweat glands, dry skin, difficulty tolerating hot or cold temperatures"
ectopic heartbeats,"Palpitations (sensations of skipped, fluttering, or rapid heartbeats), chest discomfort or pain, dizziness, lightheadedness, fainting","ectopic heartbeats: Palpitations (sensations of skipped, fluttering, or rapid heartbeats), chest discomfort or pain, dizziness, lightheadedness, fainting"
ectopic pregnancy,"Vaginal bleeding, abdominal pain or cramping (often on one side), shoulder pain, pelvic pain, fainting, weakness, dizziness","ectopic pregnancy: Vaginal bleeding, abdominal pain or cramping (often on one side), shoulder pain, pelvic pain, fainting, weakness, dizziness"
ectropion,"Outward turning of the eyelid (usually the lower eyelid), redness, irritation, tearing, sensitivity to light","ectropion: Outward turning of the eyelid (usually the lower eyelid), redness, irritation, tearing, sensitivity to light"
eczema (atopic dermatitis),"Dry, itchy, inflamed skin, rash (often on the face, hands, or knees), red or brownish-gray patches, small raised bumps","eczema (atopic dermatitis): Dry, itchy, inflamed skin, rash (often on the face, hands, or knees), red or brownish-gray patches, small raised bumps"
eczema herpeticum,"Painful blisters, red or swollen skin, fever, fatigue, swollen lymph nodes, itching, burning sensation","eczema herpeticum: Painful blisters, red or swollen skin, fever, fatigue, swollen lymph nodes, itching, burning sensation"
edema,"Swelling (often in the legs, ankles, feet, or hands), puffiness or bloating, stretched or shiny skin, dimpling when pressed","edema: Swelling (often in the legs, ankles, feet, or hands), puffiness or bloating, stretched or shiny skin, dimpling when pressed"
ehlers-danlos syndrome,"Joint hypermobility, skin hyperextensibility, easy bruising, fragile skin, chronic pain, joint dislocations or subluxations","ehlers-danlos syndrome: Joint hypermobility, skin hyperextensibility, easy bruising, fragile skin, chronic pain, joint dislocations or subluxations"
ehrlichiosis,"Fever, chills, headache, muscle aches, fatigue, nausea, vomiting, confusion, rash (may vary depending on the species of Ehrlichia)","ehrlichiosis: Fever, chills, headache, muscle aches, fatigue, nausea, vomiting, confusion, rash (may vary depending on the species of Ehrlichia)"
eisenmenger syndrome,"Cyanosis (bluish or purplish skin color), shortness of breath, fatigue, dizziness, chest pain, clubbing of fingers and toes","eisenmenger syndrome: Cyanosis (bluish or purplish skin color), shortness of breath, fatigue, dizziness, chest pain, clubbing of fingers and toes"
elbow bursitis,"Swelling and tenderness over the elbow, limited range of motion, warmth or redness, pain with movement or pressure","elbow bursitis: Swelling and tenderness over the elbow, limited range of motion, warmth or redness, pain with movement or pressure"
electrolyte imbalance,"Muscle cramps or weakness, irregular heartbeat, fatigue, confusion, nausea, vomiting, excessive thirst or urination, seizures","electrolyte imbalance: Muscle cramps or weakness, irregular heartbeat, fatigue, confusion, nausea, vomiting, excessive thirst or urination, seizures"
electromagnetic hypersensitivity (ehs),"Fatigue, headaches, dizziness, difficulty concentrating, sleep disturbances, skin irritation or rash, anxiety or depression","electromagnetic hypersensitivity (ehs): Fatigue, headaches, dizziness, difficulty concentrating, sleep disturbances, skin irritation or rash, anxiety or depression"
elephantiasis,"Swelling (usually in the legs or genitals), thickened and hardened skin, fever, chills, lymphedema, pain or discomfort","elephantiasis: Swelling (usually in the legs or genitals), thickened and hardened skin, fever, chills, lymphedema, pain or discomfort"
embolic stroke,"Sudden weakness or numbness (usually on one side of the body), trouble speaking or understanding speech, vision problems, severe headache","embolic stroke: Sudden weakness or numbness (usually on one side of the body), trouble speaking or understanding speech, vision problems, severe headache"
embolism,"Sudden shortness of breath, chest pain, rapid heart rate, coughing up blood, fainting, lightheadedness, anxiety","embolism: Sudden shortness of breath, chest pain, rapid heart rate, coughing up blood, fainting, lightheadedness, anxiety"
emery-dreifuss muscular dystrophy,"Muscle weakness and wasting (especially in the arms and legs), joint stiffness, heart problems (conduction defects), spine curvature","emery-dreifuss muscular dystrophy: Muscle weakness and wasting (especially in the arms and legs), joint stiffness, heart problems (conduction defects), spine curvature"
emphysema,"Shortness of breath, wheezing, coughing, chest tightness, fatigue, weight loss, barrel-shaped chest, pursed-lip breathing","emphysema: Shortness of breath, wheezing, coughing, chest tightness, fatigue, weight loss, barrel-shaped chest, pursed-lip breathing"
emphysematous cholecystitis,"Abdominal pain (often in the upper right side), fever, nausea, vomiting, confusion, jaundice (yellowing of the skin and eyes)","emphysematous cholecystitis: Abdominal pain (often in the upper right side), fever, nausea, vomiting, confusion, jaundice (yellowing of the skin and eyes)"
empty sella syndrome,"Often asymptomatic but may include headaches, vision changes, hormonal imbalances, symptoms related to pituitary dysfunction","empty sella syndrome: Often asymptomatic but may include headaches, vision changes, hormonal imbalances, symptoms related to pituitary dysfunction"
empyema,"Chest pain, persistent cough (often producing yellow, green, or bloody sputum), fever, chills, difficulty breathing, fatigue","empyema: Chest pain, persistent cough (often producing yellow, green, or bloody sputum), fever, chills, difficulty breathing, fatigue"
encephalitis,"Fever, headache, confusion, drowsiness, seizures, sensitivity to light, stiff neck, nausea, vomiting","encephalitis: Fever, headache, confusion, drowsiness, seizures, sensitivity to light, stiff neck, nausea, vomiting"
encephalopathy,"Altered mental state, confusion, memory loss, cognitive impairment, seizures, tremors, difficulty speaking or swallowing","encephalopathy: Altered mental state, confusion, memory loss, cognitive impairment, seizures, tremors, difficulty speaking or swallowing"
endocardial fibroelastosis,"Poor feeding or failure to thrive (in infants), difficulty breathing, rapid breathing, fatigue, enlarged heart","endocardial fibroelastosis: Poor feeding or failure to thrive (in infants), difficulty breathing, rapid breathing, fatigue, enlarged heart"
endocarditis,"Fever, chills, fatigue, weakness, rapid or irregular heartbeat, shortness of breath, cough, joint pain, skin rash","endocarditis: Fever, chills, fatigue, weakness, rapid or irregular heartbeat, shortness of breath, cough, joint pain, skin rash"
endocrine disorders,"Symptoms vary depending on the specific disorder but may include fatigue, weight changes, mood swings, changes in appetite, hair loss","endocrine disorders: Symptoms vary depending on the specific disorder but may include fatigue, weight changes, mood swings, changes in appetite, hair loss"
endometrial cancer,"Abnormal vaginal bleeding (bleeding between periods, after menopause), pelvic pain or pressure, pain during intercourse, unexplained weight loss","endometrial cancer: Abnormal vaginal bleeding (bleeding between periods, after menopause), pelvic pain or pressure, pain during intercourse, unexplained weight loss"
endometrial hyperplasia,"Abnormal uterine bleeding (heavy or prolonged periods), spotting between periods, pelvic pain or pressure, difficulty getting pregnant","endometrial hyperplasia: Abnormal uterine bleeding (heavy or prolonged periods), spotting between periods, pelvic pain or pressure, difficulty getting pregnant"
endometriosis,"Pelvic pain (often during menstruation), painful periods, pain during intercourse, infertility, fatigue, diarrhea or constipation","endometriosis: Pelvic pain (often during menstruation), painful periods, pain during intercourse, infertility, fatigue, diarrhea or constipation"
endometritis,"Abnormal vaginal bleeding (especially after childbirth or surgery), fever, pelvic pain or pressure, abnormal vaginal discharge","endometritis: Abnormal vaginal bleeding (especially after childbirth or surgery), fever, pelvic pain or pressure, abnormal vaginal discharge"
enlarged prostate,"Frequent urination (especially at night), difficulty starting or stopping urination, weak urine stream, urinary urgency or dribbling","enlarged prostate: Frequent urination (especially at night), difficulty starting or stopping urination, weak urine stream, urinary urgency or dribbling"
enteritis,"Abdominal pain, cramping, diarrhea (often watery), nausea, vomiting, fever, loss of appetite, fatigue","enteritis: Abdominal pain, cramping, diarrhea (often watery), nausea, vomiting, fever, loss of appetite, fatigue"
enterobiasis,"Itching around the anus (especially at night), difficulty sleeping, irritability, restlessness, occasional stomach pain","enterobiasis: Itching around the anus (especially at night), difficulty sleeping, irritability, restlessness, occasional stomach pain"
enterocele,"Pelvic pressure or fullness, bulge in the vagina (may worsen with standing or straining), discomfort or pain during intercourse","enterocele: Pelvic pressure or fullness, bulge in the vagina (may worsen with standing or straining), discomfort or pain during intercourse"
entropion,"Inward turning of the eyelid (usually the lower eyelid), redness, irritation, tearing, sensitivity to light","entropion: Inward turning of the eyelid (usually the lower eyelid), redness, irritation, tearing, sensitivity to light"
enuresis,"Involuntary urination during sleep (bedwetting), often at night, may occur regularly or intermittently","enuresis: Involuntary urination during sleep (bedwetting), often at night, may occur regularly or intermittently"
environmental allergies,"Sneezing, runny or stuffy nose, itchy or watery eyes, coughing, wheezing, shortness of breath, skin rash or hives","environmental allergies: Sneezing, runny or stuffy nose, itchy or watery eyes, coughing, wheezing, shortness of breath, skin rash or hives"
enzyme deficiencies,"Symptoms vary depending on the specific enzyme deficiency but may include developmental delays, poor growth, metabolic problems, organ damage","enzyme deficiencies: Symptoms vary depending on the specific enzyme deficiency but may include developmental delays, poor growth, metabolic problems, organ damage"
eosinophilic esophagitis,"Difficulty swallowing (especially solid foods), food impaction, chest pain, heartburn, abdominal pain, nausea, vomiting","eosinophilic esophagitis: Difficulty swallowing (especially solid foods), food impaction, chest pain, heartburn, abdominal pain, nausea, vomiting"
ependymoma,"Headache (especially in the morning), nausea, vomiting, vision problems, difficulty walking, weakness or numbness, seizures","ependymoma: Headache (especially in the morning), nausea, vomiting, vision problems, difficulty walking, weakness or numbness, seizures"
epidermolysis bullosa,"Fragile skin, blistering (often in response to minor trauma or friction), scarring, thickened skin, nail abnormalities","epidermolysis bullosa: Fragile skin, blistering (often in response to minor trauma or friction), scarring, thickened skin, nail abnormalities"
epididymal cyst,"Pain or discomfort in the scrotum, swelling or lump (usually on the testicle), tenderness, redness or warmth","epididymal cyst: Pain or discomfort in the scrotum, swelling or lump (usually on the testicle), tenderness, redness or warmth"
epididymitis,"Pain or discomfort in the scrotum, swelling, tenderness, redness or warmth, painful urination, discharge from the penis","epididymitis: Pain or discomfort in the scrotum, swelling, tenderness, redness or warmth, painful urination, discharge from the penis"
epilepsy,"Seizures (vary depending on type), temporary confusion, staring spells, uncontrollable jerking movements, loss of consciousness","epilepsy: Seizures (vary depending on type), temporary confusion, staring spells, uncontrollable jerking movements, loss of consciousness"
epileptic encephalopathy,"Developmental delays, seizures (often severe), cognitive impairment, movement disorders, behavioral problems","epileptic encephalopathy: Developmental delays, seizures (often severe), cognitive impairment, movement disorders, behavioral problems"
epileptic seizures,"Seizure types vary but may include convulsions, temporary confusion, staring spells, muscle spasms, loss of consciousness","epileptic seizures: Seizure types vary but may include convulsions, temporary confusion, staring spells, muscle spasms, loss of consciousness"
epiphora (excessive tearing),"Excessive tearing, watery eyes, blurred vision, irritation or redness around the eyes, mucous discharge","epiphora (excessive tearing): Excessive tearing, watery eyes, blurred vision, irritation or redness around the eyes, mucous discharge"
episcleritis,"Redness and inflammation in the whites of the eyes, mild eye discomfort or pain, watery eyes, sensitivity to light","episcleritis: Redness and inflammation in the whites of the eyes, mild eye discomfort or pain, watery eyes, sensitivity to light"
epistaxis (nosebleed),"Bleeding from the nose, may be mild or severe, may occur spontaneously or due to trauma, sinusitis, or blood clotting disorders","epistaxis (nosebleed): Bleeding from the nose, may be mild or severe, may occur spontaneously or due to trauma, sinusitis, or blood clotting disorders"
epstein-barr virus (ebv) infection,"Fatigue, fever, sore throat, swollen lymph nodes, enlarged spleen, rash, loss of appetite, headache","epstein-barr virus (ebv) infection: Fatigue, fever, sore throat, swollen lymph nodes, enlarged spleen, rash, loss of appetite, headache"
erectile dysfunction (ed),"Difficulty achieving or maintaining an erection, reduced sexual desire, premature ejaculation, delayed ejaculation","erectile dysfunction (ed): Difficulty achieving or maintaining an erection, reduced sexual desire, premature ejaculation, delayed ejaculation"
erosive esophagitis,"Difficulty swallowing, chest pain, heartburn (acid reflux), regurgitation, nausea, vomiting, coughing, hoarseness","erosive esophagitis: Difficulty swallowing, chest pain, heartburn (acid reflux), regurgitation, nausea, vomiting, coughing, hoarseness"
erosive gastritis,"Abdominal pain or discomfort, nausea, vomiting (sometimes with blood), loss of appetite, black or tarry stools","erosive gastritis: Abdominal pain or discomfort, nausea, vomiting (sometimes with blood), loss of appetite, black or tarry stools"
erysipelas,"Redness, warmth, swelling, and pain in the affected area (often the face or legs), fever, chills, fatigue, swollen lymph nodes","erysipelas: Redness, warmth, swelling, and pain in the affected area (often the face or legs), fever, chills, fatigue, swollen lymph nodes"
erythema multiforme,"Red or purple rash (often on the palms, soles, or face), blisters, itching, burning sensation, fever, fatigue","erythema multiforme: Red or purple rash (often on the palms, soles, or face), blisters, itching, burning sensation, fever, fatigue"
erythrasma,"Red or brown patches of skin (often in skin folds), itching or burning sensation, fine scales or wrinkles, mild redness","erythrasma: Red or brown patches of skin (often in skin folds), itching or burning sensation, fine scales or wrinkles, mild redness"
erythroderma,"Intense redness and scaling of the skin covering most of the body, severe itching, pain, swelling","erythroderma: Intense redness and scaling of the skin covering most of the body, severe itching, pain, swelling"
escherichia coli (e. coli) infection,"Abdominal cramps, diarrhea (often bloody), nausea, vomiting, fever, dehydration","escherichia coli (e. coli) infection: Abdominal cramps, diarrhea (often bloody), nausea, vomiting, fever, dehydration"
esophageal atresia,"Difficulty swallowing, choking when feeding, excessive drooling, cyanosis (bluish skin color)","esophageal atresia: Difficulty swallowing, choking when feeding, excessive drooling, cyanosis (bluish skin color)"
esophageal cancer,"Difficulty swallowing (dysphagia), chest pain or pressure, weight loss, hoarseness, coughing up blood","esophageal cancer: Difficulty swallowing (dysphagia), chest pain or pressure, weight loss, hoarseness, coughing up blood"
esophageal diverticulum,"Difficulty swallowing, regurgitation of undigested food, halitosis (bad breath), chest pain","esophageal diverticulum: Difficulty swallowing, regurgitation of undigested food, halitosis (bad breath), chest pain"
esophageal spasm,"Chest pain (often mistaken for heart attack), difficulty swallowing, sensation of food sticking in the throat","esophageal spasm: Chest pain (often mistaken for heart attack), difficulty swallowing, sensation of food sticking in the throat"
esophageal stricture,"Difficulty swallowing, sensation of food getting stuck in the throat, pain or discomfort with swallowing","esophageal stricture: Difficulty swallowing, sensation of food getting stuck in the throat, pain or discomfort with swallowing"
esophageal varices,"Swollen veins in the esophagus, vomiting blood, black, tarry stools, abdominal pain","esophageal varices: Swollen veins in the esophagus, vomiting blood, black, tarry stools, abdominal pain"
essential hypertension,"Elevated blood pressure readings persistently over time, often asymptomatic","essential hypertension: Elevated blood pressure readings persistently over time, often asymptomatic"
essential thrombocythemia,"Excessive bleeding or bruising, blood clots, headaches, dizziness, weakness, fatigue","essential thrombocythemia: Excessive bleeding or bruising, blood clots, headaches, dizziness, weakness, fatigue"
essential tremor,"Involuntary trembling or shaking of hands, arms, head, voice, or other body parts, worsens with movement","essential tremor: Involuntary trembling or shaking of hands, arms, head, voice, or other body parts, worsens with movement"
ethmoid sinusitis,"Pain and pressure around the eyes, forehead, or cheeks, nasal congestion, nasal discharge, reduced sense of smell","ethmoid sinusitis: Pain and pressure around the eyes, forehead, or cheeks, nasal congestion, nasal discharge, reduced sense of smell"
eustachian tube dysfunction,"Ear pain, pressure or fullness in the ear, muffled hearing, ringing or popping sensations in the ear","eustachian tube dysfunction: Ear pain, pressure or fullness in the ear, muffled hearing, ringing or popping sensations in the ear"
evans syndrome,"Anemia (pallor, fatigue, weakness), thrombocytopenia (easy bruising, bleeding), autoimmune symptoms","evans syndrome: Anemia (pallor, fatigue, weakness), thrombocytopenia (easy bruising, bleeding), autoimmune symptoms"
ewing's sarcoma,"Pain and swelling near the affected bone, fever, weight loss, fatigue, bone fractures","ewing's sarcoma: Pain and swelling near the affected bone, fever, weight loss, fatigue, bone fractures"
excessive sweating (hyperhidrosis),"Excessive sweating beyond what's necessary for regulation of body temperature, may occur in specific areas","excessive sweating (hyperhidrosis): Excessive sweating beyond what's necessary for regulation of body temperature, may occur in specific areas"
exocrine pancreatic insufficiency,"Steatorrhea (fatty, foul-smelling stools), weight loss, malnutrition, abdominal pain","exocrine pancreatic insufficiency: Steatorrhea (fatty, foul-smelling stools), weight loss, malnutrition, abdominal pain"
exophthalmos,"Protruding eyes, swollen or red eyes, difficulty closing eyelids completely, eye discomfort or pain","exophthalmos: Protruding eyes, swollen or red eyes, difficulty closing eyelids completely, eye discomfort or pain"
exostosis,"Hard, bony growth on the surface of a bone, may cause pain, restricted movement, or nerve compression","exostosis: Hard, bony growth on the surface of a bone, may cause pain, restricted movement, or nerve compression"
exploding head syndrome,"Loud noises or sensations in the head during sleep onset or awakening, no pain or physical harm","exploding head syndrome: Loud noises or sensations in the head during sleep onset or awakening, no pain or physical harm"
external otitis,"Ear pain, itching, discharge from the ear, hearing loss, redness or swelling of the ear canal","external otitis: Ear pain, itching, discharge from the ear, hearing loss, redness or swelling of the ear canal"
eye cancer,"Blurred vision, floaters or flashes of light, changes in the appearance of the eye, pain or pressure","eye cancer: Blurred vision, floaters or flashes of light, changes in the appearance of the eye, pain or pressure"
eye floaters,"Spots, specks, or cobweb-like shapes that drift across the field of vision, especially when looking at a bright background","eye floaters: Spots, specks, or cobweb-like shapes that drift across the field of vision, especially when looking at a bright background"
eye infections,"Redness, itching, pain, discharge, sensitivity to light, blurred vision, foreign body sensation","eye infections: Redness, itching, pain, discharge, sensitivity to light, blurred vision, foreign body sensation"
eye strain,"Headaches, blurry vision, dry eyes, eye discomfort or pain, difficulty focusing, neck or shoulder pain","eye strain: Headaches, blurry vision, dry eyes, eye discomfort or pain, difficulty focusing, neck or shoulder pain"
eye twitching (myokymia),"Involuntary twitching or spasms of the eyelid muscles, may be intermittent or persistent","eye twitching (myokymia): Involuntary twitching or spasms of the eyelid muscles, may be intermittent or persistent"
eyelid ptosis,"Drooping of the upper eyelid, vision obstruction, eyebrow elevation to compensate","eyelid ptosis: Drooping of the upper eyelid, vision obstruction, eyebrow elevation to compensate"
